序号,题目,作者,来源,发表时间,数据库
1,"熔体状态及后续加工对（Bi,Sb）2（Te,Se）3热电材料组织和性能的影响",王小宇,合肥工业大学,2019-05-01,博士
2,基于苯并呋喃或苯并噻二唑的荧光材料研究,彭志兴,浙江大学,2019-04-01,博士
3,含Ge Zircaloy-4合金晶体学,刘承泽,中国科学技术大学,2019-04-01,博士
4,亚快速凝固态磁制冷材料La-Fe-Si微合金化机理研究,戴雨廷,上海大学,2019-03-01,硕士
5,复合微合金化和快速凝固对亚共晶Al-Si合金组织与性能的影响及其机理研究,李玉坤,合肥工业大学,2018-12-01,博士
6,离心铸造对AZ91镁合金组织及力学性能的影响,于宝义; 王操; 郑黎; 朱雪峰; 李润霞,沈阳工业大学学报,2018-06-22 14:50,期刊
7,蛋清蛋白微颗粒及其再制凝胶性质研究,苏芳萍,华南理工大学,2018-06-08,硕士
8,Sn-58Bi钎料的快速凝固制备及组织性能研究,熊文勇,武汉理工大学,2018-05-01,硕士
9,Al-10Sr变质剂状态、变质温度及变质时间对ZL114A合金组织的影响,赵宇光; 杨雪慧; 徐晓峰; 张阳阳; 宁玉恒,吉林大学学报(工学版),2017-06-05 09:56,期刊
10,定向凝固TiAl基合金初始糊状区演变及微观组织控制,刘桐,哈尔滨工业大学,2017-06-01,博士
11,原子空位对定向凝固Fe-Ga合金磁致伸缩性能的影响,李纪恒; 高学绪; 朱洁; 包小倩; 张茂才,稀有金属,2016-07-11 16:49,期刊
12,不同状态Al-10Sr变质剂及冷却速度对ZL114A合金组织与性能的影响,张阳阳,吉林大学,2016-05-01,硕士
13,原子光谱分析新技术研究,侯贤灯; 吕弋; 周在德; 郑成斌; 吴鹏,中国分析测试协会科学技术奖发展回顾,2015-07-01,中国会议
14,Mg-Zn-Al系镁合金的制备与性能研究,王岳宸,河北工业大学,2015-05-01,硕士
15,高Zn含量Al-Zn-Mg-Cu系铝合金的凝固态显微组织,滕海涛; 熊柏青; 张永安; 刘红伟; 贺昕,中国有色金属学报,2015-04-15,期刊
16,从汉语层级性看对外汉语汉字教学,徐轶玮,第七届北京地区对外汉语教学研究生论坛文集,2014-05-10,中国会议
17,退火导致La(Fe0.89Si0.11)13单相形成过程结构及等温磁熵变化,,金属功能材料,2013-10-15,期刊
18,硅和铝含量对快速凝固高硅钢薄带织构的影响,柳金龙; 沙玉辉; 张芳; 左良,第八届中国功能材料及其应用学术会议摘要,2013-08-23,中国会议
19,快速凝固无铅钎料的研究,王捷,大连理工大学,2013-05-01,硕士
20,半凝固态加工改善金属加工工艺,,金属功能材料,2013-02-15,期刊
21,快速凝固对Sn-6.5Zn钎料合金特性及钎料/Cu焊点力学性能的影响,赵国际; 盛光敏; 罗军,中国有色金属学报,2012-10-15,期刊
22,铁对亚快速凝固态高铝青铜合金组织和性能的影响,管红艳,河南理工大学,2012-04-01,硕士
23,快速凝固及微合金化Sn-Zn系钎料改性研究,赵国际,重庆大学,2012-03-01,博士
24,胶粉-橡胶复组合物的乳混或溶混制备方法,马晓,橡胶工业,2011-11-25,期刊
25,铸态、挤压态和快速凝固态ZK60镁合金微观组织及压缩性能,王敬丰; 魏怡芸; 吴夏; 潘复生; 汤爱涛; 丁培道,材料工程,2011-08-20,期刊
26,初始制备状态对Ni3Al表面纳米结构组织的影响,任江伟; 单爱党,中国有色金属学报,2011-06-15,期刊
27,"超重力下燃烧合成TiB2-（Ti,W）C大尺寸凝固态复合陶瓷",黄雪刚; 张龙; 赵忠民; 殷春; 潘传增,稀有金属材料与工程,2011-06-15,期刊
28,单螺旋机械搅拌半固态浆料制备技术研究,林琳,昆明理工大学,2011-05-09,硕士
29,快速凝固稀土中间合金对高镁铝合金组织和性能的影响,张登伟,济南大学,2011-05-01,硕士
30,自制展示电泳实验结果的凝固态冻胶模型,王美志,实验教学与仪器,2011-04-15,期刊
31,合金元素对定向凝固NiAl基合金组织及性能的影响,马胜男,辽宁工业大学,2011-03-01,硕士
32,多主元FeCoNiCrCu合金的电化学腐蚀行为研究,米国发; 王锦永; 崔红保; 王有超,热加工工艺,2010-10-25,期刊
33,Al2O3-ZrO2（Y2O3）凝固态复合陶瓷组织演化与力学性能,刘浩东; 赵忠民; 张龙; 潘传增; 黄雪刚,第十六届全国高技术陶瓷学术年会摘要集,2010-10-22,中国会议
34,超重力下自挤压辅助燃烧合成Al2O3-ZrO2（Y2O3）共晶陶瓷研究,赵忠民; 张龙; 宋义刚; 王卫国,第十六届全国高技术陶瓷学术年会摘要集,2010-10-22,中国会议
35,快速凝固Sn2.5Ag0.7Cu钎料中金属间化合物的形态及对焊点性能的影响,赵国际; 张柯柯; 罗键,中国有色金属学报,2010-10-15,期刊
36,锶影响AZ31和ZK60镁合金铸态组织的基础研究,程仁菊,重庆大学,2010-10-01,博士
37,潜没阴极式钕电解的基础研究,罗旭东,东北大学,2010-09-07,博士
38,快速凝固对AZ61组织及性能的影响,王敬丰; 魏怡芸; 吴夏; 潘复生,兵器材料科学与工程,2010-05-15,期刊
39,可降解血管支架用Mg-Zn-Y-Nd合金组织及性能研究,王俊,郑州大学,2010-05-01,硕士
40,稀土元素与凝固速度对AZ31-RE-Sb组织及相组成的影响,吴小超,郑州大学,2010-05-01,硕士
41,FeCoNiCr基多主元合金的定向凝固组织演化及电化学腐蚀行为,王锦永,河南理工大学,2010-04-10,硕士
42,快速凝固态Sn2.5Ag0.7Cu钎料钎焊接头的显微组织,赵国际; 张柯柯; 韩丽娟; 张鑫,机械工程材料,2009-09-20,期刊
43,快速凝固Sn2.5Ag0.7Cu钎料合金凝固组织特征,赵国际; 张柯柯; 王要利; 祝要民,金属热处理,2009-06-25,期刊
44,企业2.0的凝固态物理学,刘松;,软件世界,2009-05-05,期刊
45,超重力下燃烧合成大体积凝固态Al2O3/ZrO2（4Y）研究,潘传增; 张龙; 赵忠民; 张靖; 杨泉; 曲振生,材料科学与工艺,2009-01-15,期刊
46,快速凝固对Sn2.5Ag0.7Cu钎料合金熔化与铺展特性的影响,赵国际; 张柯柯; 张鑫,热加工工艺,2008-11-10,期刊
47,不同状态Mg-9Sr中间合金对AZ31镁合金铸态组织的影响,程仁菊;潘复生;杨明波;汤爱涛;,中国有色金属学报,2008-07-15,期刊
48,Mg-9Sr中间合金的组织及其对AZ31镁合金组织细化的影响,杨明波;程仁菊;潘复生;汤爱涛;,稀有金属材料与工程,2008-03-15,期刊
49,冷变形与热处理对CuNiCr合金力学性能的影响,高化伟,热处理,2006-09-25,期刊
50,电磁场对AZ91镁合金凝固态组织的影响,赵红岩; 石广新; 翁康荣; 郑飞燕; 赵红亮,轻合金加工技术,2006-08-20,期刊
51,制备方法对Cu-2.0Cr-0.3Zr高浓度合金组织和性能的影响,罗丽,中南大学,2006-06-30,硕士
52,不同固溶方式对引线框架Cu-Cr-Sn-Zn合金时效组织和性能的影响,苏娟华; 董企铭; 刘平; 李贺军; 田保红,金属热处理,2005-05-25,期刊
53,Fe72.5Ga27.5合金的相结构和磁致伸缩性能,徐翔; 蒋成保; 徐惠彬,金属学报,2005-05-11,期刊
54,定向凝固Tb-Dy-Fe合金的热处理组织与性能,蒋成保; 赵岩; 徐惠彬,金属学报,2004-04-11,期刊
55,硅芯片封接用PbO、ZnO、B2O3三元系易熔玻璃特性与封接工艺的关系,孙以材; 孟凡斌; 潘国峰; 刘盘阁; 姬荣琴,半导体学报,2002-05-08,期刊
56,液态挤压ZA43合金的研究,孙立涛,沈阳工业大学,2002-02-21,硕士
57,Ti3SiC2/SiC 复合材料原位制备技术及其组织、性能研究,周晓龙,昆明理工大学,2001-06-30,硕士
58,TiC/Si固相反应制备Ti3SiC2/SiC复合材料的反应路径研究,陈秀华,昆明理工大学,2001-04-01,博士
59,采用电磁搅拌技术生产半凝固态高熔点合金,,湖南冶金,1998-12-15,期刊
60,喷射成形高速钢中的显微组织和M2C碳化物的分解,李殿魁,上海钢研,1998-10-15,期刊
